industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1,2301,27575,162595.9914208542,613144.070885623,7841.5768219869615,16024611.04074614,2649990.907063644
2,4009,248370,1786465.7196455307,3567431.7955830093,14911.855994395499,48895097.783806376,5153004.916022258
3,12408,520409,1542001.0575619529,2451936.614695906,5020.155074058595,53605159.46325273,6286620.3925657775
4,1561,60272,195140.213832769,4240893.974229723,28499.58397440594,41206137.59130122,6974864.668406054
5,3951,179197,697568.0625875718,1228120.8093672474,6805.250197599181,23623948.083361402,3499973.293517363
6,16698,1227783,3302688.2787018856,2860500.9079380445,3410.471299743429,45652904.670208514,7694353.305175488
7,1160,55182,228855.653606937,3542903.825175019,42495.16128323303,23209425.63890606,7329541.582748901
8,561,1786,4422.2113369,929021.958918866,27477.71258684841,5099413.59732347,1412440.999071368
9,1187,48807,88144.0643776482,827433.1453975159,14895.155879925145,30267387.09970542,1740743.474283048
10,11794,230258,2287159.9593081777,890989.6131317444,2541.5876832021227,16989686.60941911,4478088.010744182
11,1494,16222,12952.683083573,313761.81182432914,217445.86363054797,18691933.553144593,7353027.865510162
12,2742,129329,375873.6975661984,1530886.8593713164,12825.589485053182,19299221.594336353,3258342.3261952503
NA,29,349,381.27011600000003,305.5952071,698.1144872413793,14318.01971,1815.8961689999999
